Title,Max_price,Min_price,Min_price_plus,Publisher,Age_limit
Warface: Breakout,"R$ 104,90","R$ 20,98","R$ 20,98",MY.COM,14+
Die Young,"R$ 97,50","R$ 73,12","R$ 68,24",Indiegala s.r.l.,18+
The Walking Dead Onslaught,"R$ 149,50","R$ 89,70","R$ 89,70","SURVIOS, INC",16+
Project CARS 3,"R$ 249,90","R$ 99,96","R$ 99,96",BANDAI NAMCO Entertainment America Inc.,6+
Commandos 2 and Praetorians: HD Remaster Double Pack,"R$ 214,90","R$ 107,45","R$ 107,45",Kalypso Media,14+
Assetto Corsa Competizione,"R$ 199,50","R$ 99,75","R$ 99,75",505 Games,6+
RESIDENT EVIL 3,"R$ 249,90","R$ 82,46","R$ 82,46","Capcom U.S.A., Inc.",16+
Totally Reliable Delivery Service,"R$ 62,50","R$ 28,12","R$ 28,12",TINYBUILD LLC,6+
Totally Reliable Delivery Service Deluxe Edition,"R$ 99,50","R$ 44,77","R$ 39,79",TINYBUILD LLC,6+
The Pillar: Puzzle Escape,"R$ 53,90","R$ 37,73","R$ 37,73",EastAsiaSoft,6+
Moons of Madness,"R$ 159,90","R$ 74,94","R$ 74,94",FUNCOM GMBH,14+
Persona®5 Royal Deluxe Edition,"R$ 291,50","R$ 131,17","R$ 131,17","SEGA of America, Inc.",18+
eFootball PES 2021 SEASON UPDATE STANDARD EDITION,"R$ 179,90","R$ 59,36","R$ 59,36","Konami Digital Entertainment, Inc.",6+
Through the Darkest of Times,"R$ 62,50","R$ 37,50","R$ 31,25",HANDY GAMES GMBH,14+
Demon’s Tier+,"R$ 53,90","R$ 33,20","R$ 33,20",-,6+
ONE PIECE: PIRATE WARRIORS 4 Edição Deluxe,"R$ 373,90","R$ 186,95","R$ 186,95",BANDAI NAMCO Entertainment America Inc.,12+
Predator: Hunting Grounds Digital Deluxe Edition,"R$ 249,90","R$ 149,70","R$ 149,70",Sony Interactive Entertainment,18+
FAIRY TAIL Digital Deluxe,"R$ 299,90","R$ 209,93","R$ 209,93",KOEI TECMO America,12+
JankBrain,"R$ 26,90","R$ 20,17","R$ 16,13",-,6+
Ghost of Tsushima Digital Deluxe Edition,"R$ 349,90","R$ 248,42","R$ 248,42",Sony Interactive Entertainment,18+
Ary and the Secret of Seasons,"R$ 199,50","R$ 99,75","R$ 99,75",Modus Games LLC,6+
Biped,"R$ 94,90","R$ 48,68","R$ 48,68",Postmeta Games Limited,6+
