Title,Max_price,Min_price,Min_price_plus,Publisher,Age_limit
Bus Simulator,"R$ 164,90","R$ 82,45","R$ 74,20",ASTRAGON ENTERTAINMENT GMBH,6+
Agatha Knife,"R$ 64,50","R$ 38,70","R$ 32,25",-,12+
Battlewake,"R$ 159,90","R$ 39,97","R$ 39,97","SURVIOS, INC",12+
The Walking Dead: The Telltale Definitive Series,"R$ 249,50","R$ 103,95","R$ 103,95",-,18+
Catherine: Full Body,"R$ 249,90","R$ 99,75","R$ 99,75","SEGA of America, Inc.",18+
Catherine: Full Body Digital Deluxe Edition,"R$ 332,90","R$ 103,95","R$ 103,95","SEGA of America, Inc.",18+
Torchlight II,"R$ 104,90","R$ 50,10","R$ 50,10",PERFECT WORLD ENTERTAINMENT INC.,14+
DiRT Rally 2.0 - Game of the Year Edition,"R$ 249,90","R$ 49,98","R$ 37,48",Codemasters Inc.,6+
The Bard’s Tale IV: Director’s Cut,"R$ 164,90","R$ 41,22","R$ 32,97",Deep Silver,16+
F1® 2019,"R$ 299,90","R$ 62,37","R$ 49,97",Codemasters Inc.,6+
Train Sim World® 2020,"R$ 159,90","R$ 62,45","R$ 62,45",RAIL SIMULATOR.COM LTD,6+
Mutant Year Zero: Road to Eden - Deluxe Edition ,"R$ 186,90","R$ 74,76","R$ 74,76",FUNCOM GMBH,16+
Attack on Titan 2: Final Battle,"R$ 249,90","R$ 174,93","R$ 174,93",KOEI TECMO America,16+
Rainbow Skies + Rainbow Moon Mega RPG Bundle,"R$ 214,90","R$ 49,47","R$ 49,47",EastAsiaSoft,12+
Bear With Me: The Complete Collection,"R$ 79,90","R$ 22,95","R$ 22,95",Modus Games LLC,10+
Bear With Me: The Lost Robots,"R$ 26,90","R$ 7,96","R$ 7,96",Modus Games LLC,10+
Etherborn,"R$ 89,90","R$ 53,94","R$ 44,95","ALTERED MATTER GAMES, SL",6+
F1® 2019 Legends Edition Senna and Prost,"R$ 299,90","R$ 69,99","R$ 55,99",Codemasters Inc.,6+
Monster Jam Steel Titans,"R$ 199,50","R$ 74,95","R$ 74,95",THQ Nordic,6+
Crash™ Team Racing Nitro-Fueled,"R$ 179,90","R$ 62,96","R$ 62,96",Activision,6+
Bloodstained: Ritual of the Night,"R$ 199,50","R$ 79,80","R$ 79,80",505 Games,12+
Dragon Star Varnir,"R$ 207,90","R$ 51,97","R$ 51,97",Idea Factory International,12+
