Title,Max_price,Min_price,Min_price_plus,Publisher,Age_limit
Chicken Range,"R$ 99,99","R$ 29,99","R$ 24,99",FUNBOX MEDIA LIMITED,10+
MudRunner - American Wilds Edition,"R$ 214,90","R$ 53,72","R$ 49,46",Focus Home Interactive,6+
Nickelodeon Kart Racers,"R$ 149,50","R$ 37,37","R$ 37,37",GAMEMILL ENTERTAINMENT,6+
SOULCALIBUR VI,"R$ 249,90","R$ 37,48","R$ 37,48",BANDAI NAMCO Entertainment America Inc.,12+
Fast Striker,"R$ 37,50","R$ 11,25","R$ 11,25",EastAsiaSoft,6+
LEGO® DC Super-Vilões Edição Deluxe,"R$ 279,99","R$ 55,99","R$ 55,99",Warner Bros. Interactive,6+
Disgaea 1 Complete,"R$ 207,90","R$ 83,16","R$ 83,16","NIS America, Inc.",14+
My Memory of Us,"R$ 122,90","R$ 30,72","R$ 18,43",-,10+
Assassin’s Creed® Odyssey Gold Edition,"R$ 279,99","R$ 55,99","R$ 55,99",Ubisoft Entertainment,18+
F1 2018,"R$ 229,99","R$ 45,99","R$ 45,99",Codemasters Inc.,6+
Creed Rise to Glory™,"R$ 149,50","R$ 31,22","R$ 24,97","SURVIOS, INC",16+
Anodyne,"R$ 53,90","R$ 10,78","R$ 5,39",-,18+
Edição Ultimate do Tom Clancy’s Ghost Recon® Wildlands,"R$ 299,90","R$ 89,97","R$ 89,96",Ubisoft Entertainment,18+
Fishing Sim World®: Pro Tour,"R$ 99,50","R$ 34,82","R$ 34,82",RAIL SIMULATOR.COM LTD,6+
Scribblenauts Mega Pack,"R$ 149,99","R$ 29,99","R$ 29,99",Warner Bros. Interactive,6+
Ninjin: Clash of Carrots,"R$ 53,90","R$ 5,39","R$ 5,39",Modus Games LLC,10+
Divinity: Original Sin 2 - Definitive Edition,"R$ 249,99","R$ 99,99","R$ 99,99",LARIAN STUDIOS GAMES LTD.,14+
NARUTO TO BORUTO: SHINOBI STRIKER,"R$ 249,90","R$ 37,48","R$ 37,48",BANDAI NAMCO Entertainment America Inc.,12+
Phantom Doctrine,"R$ 214,90","R$ 41,22","R$ 32,23",-,18+
Electronauts,"R$ 104,90","R$ 20,87","R$ 20,87","SURVIOS, INC",12+
Disgaea 5 Complete Bundle,"R$ 164,90","R$ 74,20","R$ 74,20","NIS America, Inc.",12+
Aces of the Luftwaffe - Squadron,"R$ 79,90","R$ 31,25","R$ 19,97",HANDY GAMES GMBH,10+
Mega Man X Legacy Collection 1+2,"R$ 179,99","R$ 89,99","R$ 89,99","Capcom U.S.A., Inc.",10+
Chicken Assassin: Reloaded,"R$ 42,90","R$ 16,75","R$ 13,40",AKUPARA GAMES,10+
Mugsters,"R$ 79,90","R$ 15,98","R$ 15,98",Team17 Digital Ltd.,12+
LUMINES REMASTERED,"R$ 79,90","R$ 31,25","R$ 31,25",Enhance Games,6+
Rainbow Skies,"R$ 159,90","R$ 37,47","R$ 37,47",EastAsiaSoft,14+
Jurassic World Evolution,"R$ 249,50","R$ 49,90","R$ 49,90",FRONTIER DEVELOPMENTS PLC,12+
Bloodstained: Curse of the Moon,"R$ 53,90","R$ 26,95","R$ 26,95",-,14+
ONRUSH DIGITAL DELUXE EDITION,"R$ 352,90","R$ 35,29","R$ 35,29",Codemasters Inc.,10+
ONRUSH STANDARD DIGITAL EDITION,"R$ 124,50","R$ 9,90","R$ 7,42",Codemasters Inc.,10+
Riddled Corpses EX,"R$ 53,90","R$ 8,30","R$ 8,08",-,12+
Street Fighter 30th Anniversary Collection,"R$ 179,99","R$ 62,45","R$ 62,45","Capcom U.S.A., Inc.",12+
Attack on Titan 2,"R$ 249,90","R$ 124,95","R$ 124,95",KOEI TECMO America,14+
Overwatch: Legendary Edition,"R$ 229,99","R$ 75,89","R$ 75,89","Blizzard Entertainment, Inc.",12+
Conan Exiles,"R$ 249,50","R$ 95,95","R$ 76,76",FUNCOM GMBH,18+
DOOM + Wolfenstein II Bundle,"R$ 295,99","R$ 97,67","R$ 97,67",Bethesda Softworks,18+
Skyrim Special Edition + Fallout 4 G.O.T.Y. Bundle,"R$ 295,99","R$ 109,51","R$ 109,51",Bethesda Softworks,18+
Killing Floor: Incursion,"R$ 99,50","R$ 33,40","R$ 33,40",Tripwire Interactive,18+
God of War Digital Deluxe Edition,"R$ 119,90","R$ 79,13","R$ 79,13",Sony Interactive Entertainment,18+
Extinction,"R$ 130,90","R$ 18,73","R$ 18,73",Modus Games LLC,16+
Extinction: Deluxe Edition,"R$ 199,50","R$ 22,48","R$ 22,48",Modus Games LLC,16+
The Witch and the Hundred Knight 2,"R$ 207,90","R$ 62,37","R$ 62,37","NIS America, Inc.",12+
Ni no Kuni™ II: REVENANT KINGDOM,"R$ 299,90","R$ 44,98","R$ 44,98",BANDAI NAMCO Entertainment America Inc.,10+
Titan Quest,"R$ 149,50","R$ 31,22","R$ 31,22",THQ Nordic,12+
Burnout™ Paradise Remastered,"R$ 118,99","R$ 47,59","R$ 47,59",Electronic Arts Inc ,10+
Devil May Cry HD Collection and 4SE Bundle,"R$ 186,90","R$ 82,23","R$ 82,23","Capcom U.S.A., Inc.",14+
Frantics,"R$ 104,90","R$ 52,45","R$ 52,45",Sony Interactive Entertainment,6+
Gravel,"R$ 164,90","R$ 18,73","R$ 18,73",Milestone,6+
Konrad’s Kittens,"R$ 64,50","R$ 24,95","R$ 24,95",FusionPlay,6+
SYMMETRY,"R$ 94,90","R$ 18,98","R$ 4,74",-,12+
Xenon Valkyrie+,"R$ 53,90","R$ 8,08","R$ 5,39",-,6+
Sprint Vector,"R$ 159,90","R$ 31,22","R$ 31,22","SURVIOS, INC",12+
Raw Data,"R$ 214,90","R$ 41,22","R$ 32,97","SURVIOS, INC",14+
Aegis Defenders,"R$ 104,90","R$ 26,22","R$ 26,22",Humble Games,6+
DRAGON BALL FIGHTERZ - FighterZ Edition,"R$ 399,90","R$ 59,98","R$ 59,98",BANDAI NAMCO Entertainment America Inc.,10+
SONIC FORCES Edição Digital Standard,"R$ 79,90","R$ 39,95","R$ 39,95","SEGA of America, Inc.",10+
Kerbal Space Program Enhanced Edition,"R$ 214,90","R$ 30,72","R$ 30,72",Take-Two,6+
Grand Theft Auto V: Edição Premium,"R$ 114,90","R$ 57,45","R$ 57,45",Rockstar Games,18+
Vegas Party,"R$ 64,50","R$ 19,35","R$ 16,12",FUNBOX MEDIA LIMITED,12+
Dead Rising 4: Frank’s Big Package,"R$ 149,99","R$ 37,49","R$ 37,49","Capcom U.S.A., Inc.",18+
Arizona Sunshine®,"R$ 214,90","R$ 41,22","R$ 41,22",VERTIGO GAMES,16+
DOOM VFR,"R$ 124,90","R$ 37,47","R$ 37,47",Bethesda Softworks,18+
Loading Human - Chapter 1,"R$ 129,99","R$ 19,49","R$ 19,49",Maximum Games,14+
The Count Lucanor,"R$ 79,90","R$ 7,50","R$ 7,50",MERGE GAMES,14+
The Sims™ 4 Edição Festa Deluxe,"R$ 198,99","R$ 47,75","R$ 47,75",Electronic Arts Inc ,12+
Demon Gaze II,"R$ 199,50","R$ 41,22","R$ 41,22","NIS America, Inc.",14+
LEGO® Marvel Super Heroes 2,"R$ 79,99","R$ 19,99","R$ 19,99",Warner Bros. Interactive,6+
Road Rage,"R$ 104,90","R$ 12,52","R$ 12,52",Maximum Games,16+
Need for Speed™ Payback - Deluxe Edition,"R$ 158,99","R$ 47,69","R$ 47,69",Electronic Arts Inc ,10+
Wuppo - Deluxe Edition,"R$ 79,99","R$ 15,99","R$ 15,99",SOEDESCO PUBLISHING,6+
Wuppo - Super Deluxe Edition,"R$ 89,99","R$ 17,99","R$ 17,99",SOEDESCO PUBLISHING,6+
Assassin’s Creed® Origins Gold Edition,"R$ 299,90","R$ 59,98","R$ 59,98",Ubisoft Entertainment,16+
Hidden Agenda,"R$ 39,90","R$ 19,95","R$ 19,95",Sony Interactive Entertainment,18+
Knowledge is Power,"R$ 49,50","R$ 24,75","R$ 24,75",Sony Interactive Entertainment,6+
Rapala Fishing: Pro Series,"R$ 99,50","R$ 24,87","R$ 24,87",GAMEMILL ENTERTAINMENT,6+
Yomawari: Midnight Shadows,"R$ 99,50","R$ 25,05","R$ 25,05","NIS America, Inc.",16+
The Metronomicon: Slay the Dance Floor - Deluxe,"R$ 133,90","R$ 36,36","R$ 26,78",AKUPARA GAMES,10+
ELEX,"R$ 199,99","R$ 33,99","R$ 29,99",THQ Nordic,14+
Gran Turismo Sport,"R$ 79,99","R$ 39,99","R$ 39,99",Sony Interactive Entertainment,6+
ARK: Survival Evolved Explorer’s Edition,"R$ 373,90","R$ 93,47","R$ 74,78",-,14+
Fallout 4: Game of the Year Edition,"R$ 249,90","R$ 44,97","R$ 44,97",Bethesda Softworks,18+
Blackguards 2,"R$ 99,50","R$ 20,87","R$ 20,87",Kalypso Media,14+
Marvel vs. Capcom: Infinite - Standard Edition,"R$ 179,99","R$ 44,99","R$ 44,99","Capcom U.S.A., Inc.",12+
Baja: Edge of Control HD,"R$ 119,90","R$ 17,98","R$ 17,98",THQ Nordic,6+
Planet of the Eyes,"R$ 41,50","R$ 8,30","R$ 8,30",-,12+
Ys VIII: Lacrimosa of DANA,"R$ 249,90","R$ 82,46","R$ 82,46","NIS America, Inc.",12+
Dead Alliance™,"R$ 149,99","R$ 22,49","R$ 22,49",Maximum Games,16+
Dead Alliance™: Multiplayer Edition,"R$ 104,90","R$ 12,52","R$ 12,52",Maximum Games,16+
RESIDENT EVIL REVELATIONS,"R$ 129,99","R$ 51,99","R$ 51,99","Capcom U.S.A., Inc.",16+
The Metronomicon: Slay the Dance Floor,"R$ 104,90","R$ 29,22","R$ 20,98",AKUPARA GAMES,10+
Agents of Mayhem,"R$ 99,50","R$ 14,92","R$ 14,92",Deep Silver,18+
Sonic Mania,"R$ 65,99","R$ 32,99","R$ 32,99","SEGA of America, Inc.",6+
Mega Man Legacy Collection 1 and 2 Combo Pack,"R$ 159,99","R$ 79,99","R$ 79,99","Capcom U.S.A., Inc.",6+
