,name,game_names
0,Commandos 2 and Praetorians: HD Remaster Double Pack,Commandos 2 & Praetorians: HD Remaster Double Pack
1,Totally Reliable Delivery Service Deluxe Edition,Totally Reliable Delivery Service
2,Persona 5 Royal Deluxe Edition,Persona 5 Royal
3,eFootball PES 2021 SEASON UPDATE STANDARD EDITION,eFootball PES 2021
4,Demon’s Tier+,Demon's Tier+
5,ONE PIECE: PIRATE WARRIORS 4 Edição Deluxe,ONE PIECE: PIRATE WARRIORS 4
6,Predator: Hunting Grounds Digital Deluxe Edition,Predator: Hunting Grounds
7,FAIRY TAIL Digital Deluxe,Fairy Tail
8,Ghost of Tsushima Digital Deluxe Edition,Ghost of Tsushima
9,Don’t Starve Mega Pack 2020,Don't Starve Mega Pack 2020
11,DOOM Eternal Edição Padrão,DOOM Eternal
12,Arizona Sunshine  - Deluxe Edition,Arizona Sunshine
15,SWORD ART ONLINE Alicization Lycoris,SWORD ART ONLINE Alicization Lycoris
17,MY HERO ONE’S JUSTICE 2,MY HERO ONE'S JUSTICE 2
18,MY HERO ONE’S JUSTICE 2 Edição Deluxe,MY HERO ONE'S JUSTICE 2
21,Street Fighter V: Champion Edition,Street Fighter II: Champion Edition
23,DRAGON BALL Z: KAKAROT - Edição Definitiva,Dragon Ball Z: Kakarot
24,The Surge 2 - Premium Edition,The Surge 2
26,Let’s Sing Country - Platinum Edition,Let's Sing Country
27,STAR WARS  Battlefront  II: Celebration Edition,Star Wars: Battlefront
28,Pacote de Jogos - Crash  Team Racing Nitro-Fueled + Spyro ,Crash Team Racing Nitro-Fueled
29,DEEMO -Reborn-,DEEMO -Reborn
31,STAR WARS Jedi: Fallen Order  Edição Deluxe,Star Wars Jedi: Fallen Order
33,Atelier Ryza: Ever Darkness and the Secret Hideout,Atelier Ryza: Ever Darkness & the Secret Hideout
34,Need for Speed  Heat,Need for Speed Heat
35,Call of Duty : Modern Warfare ,Call of Duty 4: Modern Warfare
38,Worms Battlegrounds + Worms W.M.D,Worms Battlegrounds + Worms W.M.D
39,Zombieland: Double Tap- Road Trip,Zombieland: Double Tap - Road Trip
41,Tom Clancy’s Ghost Recon Breakpoint,Tom Clancy's Ghost Recon Breakpoint
42,Tom Clancy’s Ghost Recon Breakpoint Ultimate Edition,Tom Clancy's Ghost Recon Breakpoint
43,Tropico 6 El Prez Edition,Tropico 6
44,Catherine: Full Body Digital Deluxe Edition,Catherine: Full Body
45,DiRT Rally 2.0 - Game of the Year Edition,DiRT Rally 2.0
46,The Bard’s Tale IV: Director’s Cut,The Bard's Tale IV: Director's Cut
48,Train Sim World  2020,Train Sim World 2020
49,Mutant Year Zero: Road to Eden - Deluxe Edition ,Mutant Year Zero: Road to Eden
52,Crash  Team Racing Nitro-Fueled,Crash Team Racing Nitro-Fueled
53,Horizon Shift ’81,Horizon Shift '81
54,Lapis x Labyrinth ,Lapis x Labyrinth
55,Xenon Racer - Deluxe Edition,Xenon Racer
57,Conan Exiles – Deluxe Edition,Conan Exiles
58,Power Rangers: Battle For The Grid - Edição de Colecionador,Power Rangers: Battle For The Grid
60,ONE PIECE World Seeker Edição Deluxe,ONE PIECE World Seeker
62,The Walking Vegetables: Radical Edition,The Walking Vegetables
65,ACE COMBAT  7: SKIES UNKNOWN,ACE COMBAT 7: SKIES UNKNOWN
66,SWORD ART ONLINE: FATAL BULLET Edição Completa,SWORD ART ONLINE: Fatal Bullet
67,Tales of Vesperia : Edição Definitiva,Tales of Vesperia
68,Override: Mech City Brawl - Super Charged Mega Edition,Override: Mech City Brawl
69,Darksiders III Blades and Whip Edition,Darksiders III
71,Farming Simulator 19 - Premium Edition,Farming Simulator 19
72,Aces of the Luftwaffe - Squadron Extended Edition,Aces of the Luftwaffe - Squadron
74,Knowledge is Power:Decades,Knowledge is Power: Decades
75,HITMAN 2 - Edição Ouro,Hitman 2
76,Tetris  Effect,Tetris Effect
78,MudRunner - American Wilds Edition,MudRunner – American Wilds
79,Nickelodeon Kart Racers,Nickelodeon Kart Racers
81,Assassin’s Creed  Odyssey Gold Edition,Assassin's Creed
82,Creed Rise to Glory ,Creed: Rise to Glory
83,Edição Ultimate do Tom Clancy’s Ghost Recon  Wildlands,Tom Clancy's Ghost Recon
84,Fishing Sim World : Pro Tour,Fishing Sim World: Pro Tour + The Catch: Carp & Coarse
