,name,game_names
85,Disgaea 5 Complete Bundle,Disgaea 5 Complete
86,Mega Man X Legacy Collection 1+2,Mega Man X Legacy Collection 2
93,Extinction,Extinction
95,Ni no Kuni  II: REVENANT KINGDOM,Ni no Kuni II: Revenant Kingdom
96,Burnout  Paradise Remastered,Burnout Paradise Remastered
97,Devil May Cry HD Collection and 4SE Bundle,Devil May Cry HD Collection
99,Xenon Valkyrie+,Xenon Valkyrie
100,DRAGON BALL FIGHTERZ - FighterZ Edition,DRAGON BALL FighterZ
102,Kerbal Space Program Enhanced Edition,Kerbal Space Program
103,Grand Theft Auto V: Edição Premium,Grand Theft Auto V
104,Vegas Party,Vegas Party
105,Dead Rising 4: Frank’s Big Package,Dead Rising 4: Frank's Big Package
106,Arizona Sunshine ,Arizona Sunshine
107,Loading Human - Chapter 1,Loading Human: Chapter 1
109,LEGO  Marvel Super Heroes 2,LEGO Marvel Super Heroes 2
110,Need for Speed  Payback - Deluxe Edition,Need for Speed
113,Assassin’s Creed  Origins Gold Edition,Assassin's Creed
114,The Metronomicon: Slay the Dance Floor - Deluxe,The Metronomicon: Slay the Dance Floor
115,ARK: Survival Evolved Explorer’s Edition,ARK: Survival Evolved
116,Fallout 4: Game of the Year Edition,Fallout 3: Game of the Year Edition
117,Marvel vs. Capcom: Infinite - Standard Edition,Marvel vs. Capcom: Infinite
118,Dead Alliance ,Dead Alliance
120,Mega Man Legacy Collection 1 and 2 Combo Pack,Mega Man Legacy Collection 1 & 2 Combo Pack
121,Sine Mora EX,Sine Mora EX
122,Sundered : Eldritch Edition,Sundered: Eldritch Edition
123,That’s You!,That's You!
124,Crash Bandicoot  N. Sane Trilogy,Crash Bandicoot N. Sane Trilogy
126,Injustice  2,Injustice 2
127,Resident Evil  Code: Veronica X,Resident Evil - Code: Veronica X
128,Darksiders: Fury’s Collection - War and Death,Darksiders Fury's Collection - War and Death
129,Troll and I ,Troll and I
130,Gem Smashers,Gem Smashers
132,Sniper Elite 4 Deluxe Edition,Sniper Elite 4
133,NARUTO SHIPPUDEN : Ultimate Ninja  STORM 4 ROAD TO BORUTO,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 ROAD TO BORUTO
134,RESIDENT EVIL 7 biohazard,Resident Evil 7: Biohazard
135,Watch Dogs 2 - Gold Edition,Watch Dogs 2
136,DRAGON BALL XENOVERSE Super Bundle,DRAGON BALL XENOVERSE 2
137,Battlefield  1,Battlefield 1
140,Don’t Starve Together: Console Edition,Don't Starve Together
141,The Witcher 3: Wild Hunt – Complete Edition,The Witcher 3: Wild Hunt
142,No Man’s Sky,No Man's Sky
143,Cast of the Seven Godsends – Redux ,Cast of the Seven Godsends
145,Heart&Slash,Heart
146,Umbrella Corps,Umbrella Corps /Biohazard Umbrella Corps
148,DOOM,DOOM
149,"Invisible, Inc. Console Edition","Invisible, Inc."
150,DARK SOULS  III,Dark Souls III
152,Blast ’Em Bunnies,Blast 'Em Bunnies
153,The Witch and the Hundred Knight: Revival Edition,The Witch and the Hundred Knight
155,Randal’s Monday,Randal's Monday
156,Street Fighter  V,Street Fighter V
157,NARUTO SHIPPUDEN : Ultimate Ninja  STORM 4,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4
158,LEGO  Marvel’s Avengers Edição de Luxo,Marvel’s Avengers
159,Resident Evil 0,Resident Evil 6
160,Earth Defense Force 4.1: The Shadow of New Despair,EARTH DEFENSE FORCE 4.1 The Shadow of New Despair
161,BEYOND: Two Souls ,BEYOND: Two Souls
162,Resident Evil Revelations 2 Edição de Luxo,Resident Evil Revelations
164,Resident Evil,Resident Evil
165,Terraria: PS4  Edition,Terraria
166,Battlefield 4  Premium Edition,Battlefield 4
167,Plants vs. Zombies  Garden Warfare,Plants vs Zombies Garden Warfare
168,The Last Of Us  Remastered ,The Last Of Us Remastered
169,Don’t Starve: Console Edition,Don't Starve
170,LEGO  Marvel  Super Heroes,LEGO Marvel Super Heroes
172,SnowRunner - Premium Edition,SnowRunner
176,The Last of Us Part II Digital Deluxe Edition,The Last of Us Part II
177,The Elder Scrolls Online: Greymoor Collector’s Edition,The Elder Scrolls Online: Greymoor
179,Edição Deluxe de Captain Tsubasa: Rise of New Champions,Captain Tsubasa: Rise of New Champions
181,Remnant: From the Ashes – Complete Edition,Remnant: From the Ashes
182,eFootball PES 2021 SEASON UPDATE ARSENAL EDITION,eFootball PES 2021
183,eFootball PES 2021 SEASON UPDATE FC BARCELONA EDITION,eFootball PES 2021
185,eFootball PES 2021 SEASON UPDATE JUVENTUS EDITION,eFootball PES 2021
190,Skully,Skully
191,Train Sim World  2,Train Sim World
192,Railway Empire - Complete Collection,Railway Empire – Complete Collection
194,New Super Lucky’s Tale,New Super Lucky's Tale
196,FUSER ,Fuser
199,Warface: Breakout – Edição Definitiva,Warface: Breakout
200,Let’s Sing Queen,Let's Sing Queen
201,Dead by Daylight: Special Edition,Dead by Daylight
202,Jurassic World Evolution: Edição Jurassic Park,Jurassic World Evolution
203,Macrotis: A Mother’s Journey,Macrotis: A Mother's Journey
204,DOOM Eternal: Year One Pass (Standalone),DOOM Eternal: Year One Pass
205,Battlefield  V Edição Definitiva,Battlefield V
206,The Legend of Heroes: Trails of Cold Steel IV Digital Deluxe Edition,The Legend of Heroes: Trails of Cold Steel III
208,Santa’s Xmas Adventure,Santa's Xmas Adventure
210,Söldner-X 2: Final Prototype Definitive Edition,Söldner-X 2: Final Prototype
212,Let’s Sing 2021 - Platinum Edition,Let's Sing 2021
214,Fishing Sim World: Pro Tour + The Catch: Carp and Coarse,Fishing Sim World: Pro Tour + The Catch: Carp & Coarse
215,Ys IX: Monstrum Nox Digital Deluxe Edition,Ys IX: Monstrum Nox
218,The Catch: Carp and Coarse - Collector’s Edition,The Catch: Carp and Coarse
223,Can’t Drive This,Can't Drive This
224,"SWORD ART ONLINE: Alicization Lycoris, Edição Deluxe",SWORD ART ONLINE: Alicization Lycoris
225,Gal*Gun: Double Peace - Complete Edition,Gal Gun: Double Peace
226,Let’s Sing 2020 Platinum Edition,Let's Sing 2020
227,Let’s Sing 2020,Let's Sing 2020
232,Scott Pilgrim vs. The World : The Game – Complete Edition,Scott Pilgrim vs. The World: The Game – Complete Edition
234,BioShock Infinite: The Complete Edition,BioShock Infinite
235,TT Isle of Man: Ride on the Edge 2,TT Isle of Man Ride on the Edge 2
236,Tom Clancy’s The Division  Franchise Bundle,Tom Clancy’s The Division
238,ONE PUNCH MAN: A HERO NOBODY KNOWS Edição Deluxe,One Punch Man: A Hero Nobody Knows
241,DRAGON BALL Z: KAKAROT - Edição de Luxo,Dragon Ball Z: Kakarot
242,Graveyard Keeper Collector’s Edition,Graveyard Keeper
244,Pacote RV de Espire 1: VR Operative e Killing Floor: Incursion,Killing Floor: Incursion
245,Woodle Tree 2: Deluxe+,Woodle Tree 2: Deluxe+
246,Farmer’s Dynasty,Farmer's Dynasty
247,Need for Speed  Heat Edição Deluxe,Need for Speed
248,MediEvil,Medievil
250,WWE 2K20 Deluxe Edition,WWE 2K20
251,YU-NO: A girl who chants love at the bound of this world.,YU-NO: A girl who chants love at the bound of this world
253,Train Sim World  2020 Deluxe Edition,Train Sim World
255,The Savior’s Gang - Blessed Edition,The Savior's Gang
257,DOOM II (Classic),DOOM II
258,Wolfenstein: Cyberpilot ,Wolfenstein: Cyberpilot
259,DRAGON QUEST BUILDERS 2 Digital Deluxe Edition,Dragon Quest Builders 2
260,Tennis World Tour: Roland-Garros Edition,Tennis World Tour
263,Suicide Guy Bundle,Suicide Guy
264,Our World is Ended.,Our World Is Ended
266,EARTH DEFENSE FORCE:IRON RAIN,Earth Defense Force: Iron Rain
267,Generation Zero ,Generation Zero (2019)
268,The Legend of Heroes: Trails of Cold Steel,The Legend of Heroes: Trails of Cold Steel IV
269,LEFT ALIVE  DAY ONE EDITION,LEFT ALIVE
271,STEINS;GATE ELITE,STEINS;GATE ELITE
272,Suicide Guy: Sleepin’ Deeply,Suicide Guy: Sleepin' Deeply
274,Warhammer: Vermintide 2 - Edição Premium ,Warhammer: Vermintide 2
275,Déraciné,Déraciné
276,Call of Cthulhu ,Call of Cthulhu
280,Assassin’s Creed  Odyssey Ultimate Edition,Assassin's Creed
283,SNK HEROINES Tag Team Frenzy,SNK Heroines: Tag Team Frenzy
284,Fire Pro Wrestling World Deluxe Edition,Fire Pro Wrestling World
286,"Warhammer 40,000: Inquisitor - Martyr | Imperium edition","Warhammer 40,000: Inquisitor - Martyr"
287,THE KING OF FIGHTERS  COLLECTION: THE OROCHI SAGA,THE KING OF FIGHTERS Collection: The Orochi Saga
289,Shaq-Fu: A Legend Reborn,Shaq Fu: A Legend Reborn
290,Yoku’s Island Express,Yoku's Island Express
291,PixelJunk  Monsters 2,PixelJunk Monsters 2
292,PixelJunk  Monsters 2 Deluxe Edition,PixelJunk Monsters 2
293,Euro Fishing: Ultimate Edition,Euro Fishing
294,Tennis World Tour - Legends Edition,Tennis World Tour
295,Call of Duty : WWII - Edição Ouro,Call of Duty
296,Assetto Corsa Ultimate Edition,Assetto Corsa
297,THE KING OF FIGHTERS ’97 GLOBAL MATCH,THE KING OF FIGHTERS '97 GLOBAL MATCH
298,THE KING OF FIGHTERS  ’98 ULTIMATE MATCH,THE KING OF FIGHTERS '98 ULTIMATE MATCH
300,Euro Fishing: Castle Edition,Euro Fishing
301,TT Isle of Man: Ride on the Edge,TT Isle of Man - Ride on the Edge
303,SHADOW OF THE COLOSSUS,Shadow of the Colossus
304,Digimon Story: Cyber Sleuth - Hacker’s Memory,Digimon Story Cyber Sleuth: Hacker’s Memory
305,LocoRoco  2 Remastered,LocoRoco 2 Remastered
307,Agents of Mayhem - Total Mayhem Bundle,Agents of Mayhem
308,Need for Speed  Payback,Need for Speed Payback
309,Wheel of Fortune ,Wheel of Fortune
310,Call of Duty : Black Ops III - Edição Zombies Chronicles,Call of Duty: Black Ops III
311,Jak and Daxter: The Precursor Legacy ,Jak and Daxter: The Precursor Legacy
312,Patapon  Remastered,Patapon 2 Remastered
315,Euro Fishing: Urban Edition,Euro Fishing
316,SpeedRunners Deluxe Bundle,SpeedRunners
317,LocoRoco  Remastered,LocoRoco 2 Remastered
318,DRAGON QUEST HEROES II  Edição do Explorador,DRAGON QUEST HEROES II
319,Wonder Boy: The Dragon’s Trap,Wonder Boy: The Dragon's Trap
320,PaRappa The Rapper  Remastered,PaRappa The Rapper Remastered
321,FATAL FURY  BATTLE ARCHIVES VOL.2,FATAL FURY BATTLE ARCHIVES VOL.2
322,ADK DAMASHII ,ADK DAMASHII
323,Assassin’s Creed  The Ezio Collection,Assassin’s Creed The Ezio Collection
324,FU’UN SUPER COMBO ,FU'UN SUPER COMBO
325,The Escapists: Supermax Edition,The Escapists
326,Overcooked Holiday Bundle,Overcooked
327,GAROU: MARK OF THE WOLVES ,Garou: Mark of the Wolves
328,Destroy All Humans! 2 (2006),Destroy All Humans! 2
329,Steins;Gate 0,STEINS;GATE 0
330,SAMURAI SHODOWN VI ,SAMURAI SHODOWN VI
331,Call of Duty : Infinite Warfare - Digital Deluxe,Call of Duty: Infinite Warfare
332,Call of Duty : Infinite Warfare - Legacy Edition,Call of Duty: Infinite Warfare
334,Destroy All Humans! (2005),Destroy All Humans! (2020)
335,Team17 Indie Heroes,Team17 Indie Heroes Pack
336,Call of Duty : Modern Warfare  Remastered,Call of Duty: Modern Warfare Remastered
337,Tropico 5 - Complete Collection,Tropico 5: Complete Collection
338,Air Conflicts: Double Pack,Air Conflicts Double Pack
339,Gal*Gun: Double Peace,Gal Gun: Double Peace
340,LEGO  Star Wars : The Force Awakens,LEGO Star Wars: The Force Awakens
344,Tom Clancy’s The Division  Gold Edition,Tom Clancy’s The Division 2
345,Plants vs. Zombies  Garden Warfare 2: Edição Deluxe,Plants vs. Zombies Garden Warfare 2
346,Gravity Rush  Remastered,Gravity Rush Remastered
347,LEGO  Marvel’s Avengers,LEGO Marvel's Avengers
348,PaRappa The Rapper 2 ,PaRappa The Rapper 2
349,STAR WARS   Battlefront  Ultimate Edition,Star Wars: Battlefront
350,Need for Speed ,Need for Speed
351,Assassin’s Creed  Syndicate,Assassin's Creed Syndicate
353,DRAGON QUEST HEROES: The World Tree’s Woe and the Blight Below,DRAGON QUEST HEROES: The World Tree's Woe and the Blight Below
355,Tearaway  Unfolded,Tearaway Unfolded
356,Dying Light,Dying Light
357,Saints Row IV Re-Elected ,Saints Row IV: Re-Elected
358,The Order: 1886 ,The Order: 1886
359,Assassin’s Creed  Unity,Assassin's Creed Unity
361,Call of Duty : Advanced Warfare - Edição Digital Pro,Call of Duty: Advanced Warfare
362,Lone Survivor: The Director’s Cut,Lone Survivor: The Director's Cut
363,Shadow Warrior,Shadow Warrior (2013)
364,Defense Grid 2,Defense Grid 2
365,Valiant Hearts: The Great War ,Valiant Hearts: The Great War
366,Pure Chess  Complete Bundle,Pure Chess
368,Battlefield 4 ,Battlefield 4
369,Need for Speed  Hot Pursuit Remastered,Need for Speed: Hot Pursuit Remastered
370,Down the Rabbit Hole,Down the Rabbit Hole
373,The Sinking City: Necronomicon Edition,The Sinking City
374,The Catch: Carp and Coarse Fishing,The Catch: Carp and Coarse
375,Ultra Hat Dimension,Ultra Hat Dimension
378,Train Sim World  2: Deluxe Edition,Train Sim World
380,Nicole,Nicole
381,Kerbal Space Program Enhanced Edition Complete,Kerbal Space Program
382,Tennis World Tour 2 Ace Edition,Tennis World Tour
383,The Catch: Carp and Coarse - Deluxe Edition,The Catch: Carp and Coarse
390,Warhammer: Chaosbane Slayer Edition,Warhammer: Chaosbane
391,Empire of Sin - Deluxe Edition,Empire of Sin
392,Empire of Sin - Premium Edition,Empire of Sin
395,Autumn’s Journey,Autumn's Journey
402,PixelJunk  Shooter Ultimate,PixelJunk Shooter Ultimate
403,THE KING OF FIGHTERS XIV Special Anniversary Edition,The King of Fighters XIV
