Time,Price,Title
2020-08-06,291.5,Persona®5 Royal Deluxe Edition
2020-08-27,189.47,Persona®5 Royal Deluxe Edition
2020-09-01,291.5,Persona®5 Royal Deluxe Edition
2020-11-30,145.75,Persona®5 Royal Deluxe Edition
2020-12-23,291.5,Persona®5 Royal Deluxe Edition
2021-03-31,131.17,Persona®5 Royal Deluxe Edition
2021-04-01,131.17,Persona®5 Royal Deluxe Edition
2020-08-20,179.9,eFootball PES 2021 SEASON UPDATE STANDARD EDITION
2020-11-21,120.53,eFootball PES 2021 SEASON UPDATE STANDARD EDITION
2020-12-01,179.9,eFootball PES 2021 SEASON UPDATE STANDARD EDITION
2020-12-22,89.95,eFootball PES 2021 SEASON UPDATE STANDARD EDITION
2021-01-20,179.9,eFootball PES 2021 SEASON UPDATE STANDARD EDITION
2021-02-17,134.92,eFootball PES 2021 SEASON UPDATE STANDARD EDITION
2021-03-04,179.9,eFootball PES 2021 SEASON UPDATE STANDARD EDITION
2021-03-31,59.36,eFootball PES 2021 SEASON UPDATE STANDARD EDITION
2021-04-01,59.36,eFootball PES 2021 SEASON UPDATE STANDARD EDITION
2020-08-13,62.5,Through the Darkest of Times
2020-12-22,50.0,Through the Darkest of Times
2021-01-20,62.5,Through the Darkest of Times
2021-02-17,46.87,Through the Darkest of Times
2021-03-04,62.5,Through the Darkest of Times
2021-03-31,37.5,Through the Darkest of Times
2021-04-01,37.5,Through the Darkest of Times
2020-06-09,41.5,Demon’s Tier+
2020-08-26,33.2,Demon’s Tier+
2020-09-10,41.5,Demon’s Tier+
2020-09-26,53.9,Demon’s Tier+
2020-12-22,40.42,Demon’s Tier+
2021-01-20,53.9,Demon’s Tier+
2021-03-31,37.73,Demon’s Tier+
2021-04-01,37.73,Demon’s Tier+
2020-04-14,373.9,ONE PIECE: PIRATE WARRIORS 4 Edição Deluxe
2020-05-22,299.12,ONE PIECE: PIRATE WARRIORS 4 Edição Deluxe
2020-05-27,373.9,ONE PIECE: PIRATE WARRIORS 4 Edição Deluxe
2020-07-22,261.73,ONE PIECE: PIRATE WARRIORS 4 Edição Deluxe
2020-08-06,373.9,ONE PIECE: PIRATE WARRIORS 4 Edição Deluxe
2020-09-02,261.73,ONE PIECE: PIRATE WARRIORS 4 Edição Deluxe
2020-09-17,373.9,ONE PIECE: PIRATE WARRIORS 4 Edição Deluxe
2020-09-30,205.64,ONE PIECE: PIRATE WARRIORS 4 Edição Deluxe
2020-10-15,373.9,ONE PIECE: PIRATE WARRIORS 4 Edição Deluxe
2020-11-21,205.64,ONE PIECE: PIRATE WARRIORS 4 Edição Deluxe
2020-12-01,373.9,ONE PIECE: PIRATE WARRIORS 4 Edição Deluxe
2021-01-05,205.64,ONE PIECE: PIRATE WARRIORS 4 Edição Deluxe
2021-01-20,373.9,ONE PIECE: PIRATE WARRIORS 4 Edição Deluxe
2021-02-10,205.64,ONE PIECE: PIRATE WARRIORS 4 Edição Deluxe
2021-02-25,373.9,ONE PIECE: PIRATE WARRIORS 4 Edição Deluxe
2021-03-31,186.95,ONE PIECE: PIRATE WARRIORS 4 Edição Deluxe
2021-04-01,186.95,ONE PIECE: PIRATE WARRIORS 4 Edição Deluxe
2020-04-14,249.9,Predator: Hunting Grounds Digital Deluxe Edition
2020-06-03,187.42,Predator: Hunting Grounds Digital Deluxe Edition
2020-06-18,249.9,Predator: Hunting Grounds Digital Deluxe Edition
2020-07-22,187.42,Predator: Hunting Grounds Digital Deluxe Edition
2020-08-06,249.9,Predator: Hunting Grounds Digital Deluxe Edition
2020-08-27,187.42,Predator: Hunting Grounds Digital Deluxe Edition
2020-09-01,249.9,Predator: Hunting Grounds Digital Deluxe Edition
2020-10-14,149.94,Predator: Hunting Grounds Digital Deluxe Edition
2020-11-03,249.9,Predator: Hunting Grounds Digital Deluxe Edition
2020-11-30,149.94,Predator: Hunting Grounds Digital Deluxe Edition
2020-12-23,249.9,Predator: Hunting Grounds Digital Deluxe Edition
2021-02-03,249.5,Predator: Hunting Grounds Digital Deluxe Edition
2021-02-17,199.6,Predator: Hunting Grounds Digital Deluxe Edition
2021-03-04,249.5,Predator: Hunting Grounds Digital Deluxe Edition
2021-03-31,149.7,Predator: Hunting Grounds Digital Deluxe Edition
2021-04-01,149.7,Predator: Hunting Grounds Digital Deluxe Edition
2020-08-14,299.9,FAIRY TAIL Digital Deluxe
2020-10-30,209.93,FAIRY TAIL Digital Deluxe
2020-11-21,299.9,FAIRY TAIL Digital Deluxe
2021-03-31,209.93,FAIRY TAIL Digital Deluxe
2021-04-01,209.93,FAIRY TAIL Digital Deluxe
2021-01-19,26.9,JankBrain
2021-03-31,20.17,JankBrain
2021-04-01,20.17,JankBrain
2020-04-14,289.9,Ghost of Tsushima Digital Deluxe Edition
2020-07-17,319.9,Ghost of Tsushima Digital Deluxe Edition
2020-09-30,252.72,Ghost of Tsushima Digital Deluxe Edition
2020-10-15,319.9,Ghost of Tsushima Digital Deluxe Edition
2020-10-17,349.9,Ghost of Tsushima Digital Deluxe Edition
2020-11-21,248.42,Ghost of Tsushima Digital Deluxe Edition
2020-12-01,349.9,Ghost of Tsushima Digital Deluxe Edition
2020-12-22,248.42,Ghost of Tsushima Digital Deluxe Edition
2021-01-09,349.9,Ghost of Tsushima Digital Deluxe Edition
2021-02-03,248.42,Ghost of Tsushima Digital Deluxe Edition
2021-02-11,349.9,Ghost of Tsushima Digital Deluxe Edition
2021-03-31,248.42,Ghost of Tsushima Digital Deluxe Edition
2021-04-01,248.42,Ghost of Tsushima Digital Deluxe Edition
2020-09-01,164.9,Ary and the Secret of Seasons
2020-09-27,199.5,Ary and the Secret of Seasons
2020-11-04,149.62,Ary and the Secret of Seasons
2020-11-21,199.5,Ary and the Secret of Seasons
2020-12-22,99.75,Ary and the Secret of Seasons
2021-01-20,199.5,Ary and the Secret of Seasons
2021-02-17,99.75,Ary and the Secret of Seasons
2021-03-04,199.5,Ary and the Secret of Seasons
2021-03-31,99.75,Ary and the Secret of Seasons
2021-04-01,99.75,Ary and the Secret of Seasons
2020-04-14,74.9,Biped
2020-06-24,52.43,Biped
2020-07-09,74.9,Biped
2020-08-26,48.68,Biped
2020-09-10,74.9,Biped
2020-09-26,94.9,Biped
2020-11-04,61.68,Biped
2020-11-21,94.9,Biped
2020-12-22,61.68,Biped
2021-01-20,94.9,Biped
2021-02-24,61.68,Biped
2021-03-11,94.9,Biped
2021-03-31,55.99,Biped
2021-04-01,55.99,Biped
2021-01-20,172.9,Don’t Starve Mega Pack 2020
2021-02-17,86.45,Don’t Starve Mega Pack 2020
2021-03-04,172.9,Don’t Starve Mega Pack 2020
2021-03-31,86.45,Don’t Starve Mega Pack 2020
2021-04-01,86.45,Don’t Starve Mega Pack 2020
2020-09-24,104.9,OhShape
2021-01-19,83.92,OhShape
2021-02-04,104.9,OhShape
2021-03-31,83.92,OhShape
2021-04-01,83.92,OhShape
2020-05-05,207.9,World War Z - GOTY Edition
2020-06-24,103.95,World War Z - GOTY Edition
2020-07-09,207.9,World War Z - GOTY Edition
2020-08-05,103.95,World War Z - GOTY Edition
2020-08-20,207.9,World War Z - GOTY Edition
2020-09-16,149.68,World War Z - GOTY Edition
2020-10-01,207.9,World War Z - GOTY Edition
2020-11-21,83.16,World War Z - GOTY Edition
2020-12-01,207.9,World War Z - GOTY Edition
2021-01-05,83.16,World War Z - GOTY Edition
2021-01-20,207.9,World War Z - GOTY Edition
2021-02-03,83.16,World War Z - GOTY Edition
2021-02-18,207.9,World War Z - GOTY Edition
2021-03-31,83.16,World War Z - GOTY Edition
2021-04-01,83.16,World War Z - GOTY Edition
2020-04-14,248.99,DOOM Eternal Edição Padrão
2020-05-06,186.74,DOOM Eternal Edição Padrão
2020-05-13,248.99,DOOM Eternal Edição Padrão
2020-06-03,161.84,DOOM Eternal Edição Padrão
2020-06-18,248.99,DOOM Eternal Edição Padrão
2020-08-05,124.49,DOOM Eternal Edição Padrão
2020-08-20,248.99,DOOM Eternal Edição Padrão
2020-10-14,124.49,DOOM Eternal Edição Padrão
2020-11-03,248.99,DOOM Eternal Edição Padrão
2020-12-10,82.16,DOOM Eternal Edição Padrão
2020-12-15,248.99,DOOM Eternal Edição Padrão
2020-12-22,82.16,DOOM Eternal Edição Padrão
2021-01-09,248.99,DOOM Eternal Edição Padrão
2021-02-03,82.16,DOOM Eternal Edição Padrão
2021-02-18,248.99,DOOM Eternal Edição Padrão
2021-03-31,99.59,DOOM Eternal Edição Padrão
2021-04-01,99.59,DOOM Eternal Edição Padrão
2020-04-30,103.9,Book of Demons
2020-06-10,72.73,Book of Demons
2020-06-25,103.9,Book of Demons
2020-07-22,51.95,Book of Demons
2020-08-20,103.9,Book of Demons
2020-09-26,133.9,Book of Demons
2020-11-30,66.95,Book of Demons
2020-12-23,133.9,Book of Demons
2021-02-03,60.25,Book of Demons
2021-02-18,133.9,Book of Demons
2021-03-31,53.56,Book of Demons
2021-04-01,53.56,Book of Demons
2020-06-16,207.9,Disintegration
2020-07-22,124.74,Disintegration
2020-08-06,207.9,Disintegration
2020-08-07,199.9,Disintegration
2020-09-30,99.95,Disintegration
2020-10-15,199.9,Disintegration
2020-10-15,159.9,Disintegration
2020-11-21,79.95,Disintegration
2020-12-01,159.9,Disintegration
2021-01-05,79.95,Disintegration
2021-01-20,159.9,Disintegration
2021-02-17,79.95,Disintegration
2021-03-04,159.9,Disintegration
2021-03-31,79.95,Disintegration
2021-04-01,79.95,Disintegration
2020-06-04,186.9,Arizona Sunshine® - Deluxe Edition
2020-07-22,93.45,Arizona Sunshine® - Deluxe Edition
2020-08-06,186.9,Arizona Sunshine® - Deluxe Edition
2020-09-09,56.07,Arizona Sunshine® - Deluxe Edition
2020-09-24,186.9,Arizona Sunshine® - Deluxe Edition
2020-09-27,239.9,Arizona Sunshine® - Deluxe Edition
2020-11-21,119.95,Arizona Sunshine® - Deluxe Edition
2020-12-01,239.9,Arizona Sunshine® - Deluxe Edition
2021-01-05,47.98,Arizona Sunshine® - Deluxe Edition
2021-01-20,239.9,Arizona Sunshine® - Deluxe Edition
2021-02-17,59.97,Arizona Sunshine® - Deluxe Edition
2021-03-04,239.9,Arizona Sunshine® - Deluxe Edition
2021-03-31,79.16,Arizona Sunshine® - Deluxe Edition
2021-04-01,79.16,Arizona Sunshine® - Deluxe Edition
2020-04-30,62.5,Konrad’s Kittens - Pacote de temas para gatos
2020-09-09,37.5,Konrad’s Kittens - Pacote de temas para gatos
2020-09-24,62.5,Konrad’s Kittens - Pacote de temas para gatos
2020-09-27,79.9,Konrad’s Kittens - Pacote de temas para gatos
2021-03-31,47.94,Konrad’s Kittens - Pacote de temas para gatos
2021-04-01,47.94,Konrad’s Kittens - Pacote de temas para gatos
2020-10-13,199.5,G.I. Joe: Operation Blackout
2020-12-22,129.67,G.I. Joe: Operation Blackout
2021-01-20,199.5,G.I. Joe: Operation Blackout
2021-03-31,69.82,G.I. Joe: Operation Blackout
2021-04-01,69.82,G.I. Joe: Operation Blackout
2020-08-26,37.5,Eastasiasoft Indie Shmup Bundle
2020-09-26,48.5,Eastasiasoft Indie Shmup Bundle
2020-11-04,24.25,Eastasiasoft Indie Shmup Bundle
2020-11-21,48.5,Eastasiasoft Indie Shmup Bundle
2021-02-03,24.25,Eastasiasoft Indie Shmup Bundle
2021-02-18,48.5,Eastasiasoft Indie Shmup Bundle
2021-03-31,24.25,Eastasiasoft Indie Shmup Bundle
2021-04-01,24.25,Eastasiasoft Indie Shmup Bundle
2020-07-10,62.5,Bloodstained: Curse of the Moon 2
2020-09-27,79.9,Bloodstained: Curse of the Moon 2
2020-12-22,51.93,Bloodstained: Curse of the Moon 2
2021-01-20,79.9,Bloodstained: Curse of the Moon 2
2021-02-17,47.94,Bloodstained: Curse of the Moon 2
2021-03-04,79.9,Bloodstained: Curse of the Moon 2
2021-03-31,47.94,Bloodstained: Curse of the Moon 2
2021-04-01,47.94,Bloodstained: Curse of the Moon 2
2020-08-14,249.9,SWORD ART ONLINE Alicization Lycoris
2020-09-25,174.93,SWORD ART ONLINE Alicization Lycoris
2020-09-29,249.9,SWORD ART ONLINE Alicization Lycoris
2020-11-21,149.94,SWORD ART ONLINE Alicization Lycoris
2020-12-01,249.9,SWORD ART ONLINE Alicization Lycoris
2020-12-22,149.94,SWORD ART ONLINE Alicization Lycoris
2021-01-20,249.9,SWORD ART ONLINE Alicization Lycoris
2021-02-10,149.94,SWORD ART ONLINE Alicization Lycoris
2021-02-25,249.9,SWORD ART ONLINE Alicization Lycoris
2021-03-31,124.95,SWORD ART ONLINE Alicization Lycoris
2021-04-01,124.95,SWORD ART ONLINE Alicization Lycoris
2020-04-14,159.9,Predator: Hunting Grounds
2020-06-03,119.92,Predator: Hunting Grounds
2020-06-18,159.9,Predator: Hunting Grounds
2020-07-22,119.92,Predator: Hunting Grounds
2020-08-06,159.9,Predator: Hunting Grounds
2020-08-27,119.92,Predator: Hunting Grounds
2020-09-01,159.9,Predator: Hunting Grounds
2020-10-14,95.94,Predator: Hunting Grounds
2020-11-03,159.9,Predator: Hunting Grounds
2020-11-25,199.5,Predator: Hunting Grounds
2021-01-05,99.75,Predator: Hunting Grounds
2021-01-20,199.5,Predator: Hunting Grounds
2021-02-03,149.5,Predator: Hunting Grounds
2021-02-17,112.12,Predator: Hunting Grounds
2021-03-04,149.5,Predator: Hunting Grounds
2021-03-31,74.75,Predator: Hunting Grounds
2021-04-01,74.75,Predator: Hunting Grounds
2020-04-14,62.5,LA-MULANA
2020-08-19,41.25,LA-MULANA
2020-09-03,62.5,LA-MULANA
2020-09-23,41.25,LA-MULANA
2020-10-08,62.5,LA-MULANA
2020-11-12,41.25,LA-MULANA
2020-12-01,62.5,LA-MULANA
2020-12-22,37.5,LA-MULANA
2021-01-20,62.5,LA-MULANA
2021-02-17,37.5,LA-MULANA
2021-03-04,62.5,LA-MULANA
2021-03-31,37.5,LA-MULANA
2021-04-01,37.5,LA-MULANA
2020-04-14,103.9,LA-MULANA 2
2020-08-19,72.73,LA-MULANA 2
2020-09-03,103.9,LA-MULANA 2
2020-09-23,77.92,LA-MULANA 2
2020-10-08,103.9,LA-MULANA 2
2020-11-12,68.57,LA-MULANA 2
2020-12-01,103.9,LA-MULANA 2
2020-12-22,62.34,LA-MULANA 2
2021-01-20,103.9,LA-MULANA 2
2021-02-17,62.34,LA-MULANA 2
2021-03-04,103.9,LA-MULANA 2
2021-03-31,62.34,LA-MULANA 2
2021-04-01,62.34,LA-MULANA 2
2020-12-01,299.9,Fallout 76: Aurora de Aço – Edição Deluxe
2021-01-05,119.96,Fallout 76: Aurora de Aço – Edição Deluxe
2021-01-20,299.9,Fallout 76: Aurora de Aço – Edição Deluxe
2021-02-17,239.92,Fallout 76: Aurora de Aço – Edição Deluxe
2021-03-04,299.9,Fallout 76: Aurora de Aço – Edição Deluxe
2021-03-31,179.94,Fallout 76: Aurora de Aço – Edição Deluxe
2021-04-01,179.94,Fallout 76: Aurora de Aço – Edição Deluxe
2020-04-14,249.9,MY HERO ONE’S JUSTICE 2
2020-05-22,174.93,MY HERO ONE’S JUSTICE 2
2020-05-27,249.9,MY HERO ONE’S JUSTICE 2
2020-07-22,149.94,MY HERO ONE’S JUSTICE 2
2020-08-20,249.9,MY HERO ONE’S JUSTICE 2
2020-09-23,149.94,MY HERO ONE’S JUSTICE 2
2020-10-08,249.9,MY HERO ONE’S JUSTICE 2
2020-10-30,124.95,MY HERO ONE’S JUSTICE 2
2020-11-21,249.9,MY HERO ONE’S JUSTICE 2
2020-12-22,124.95,MY HERO ONE’S JUSTICE 2
2021-01-20,249.9,MY HERO ONE’S JUSTICE 2
2021-02-10,124.95,MY HERO ONE’S JUSTICE 2
2021-02-25,249.9,MY HERO ONE’S JUSTICE 2
2021-03-31,99.96,MY HERO ONE’S JUSTICE 2
2021-04-01,99.96,MY HERO ONE’S JUSTICE 2
2020-04-14,332.9,MY HERO ONE’S JUSTICE 2 Edição Deluxe
2020-05-22,266.32,MY HERO ONE’S JUSTICE 2 Edição Deluxe
2020-05-27,332.9,MY HERO ONE’S JUSTICE 2 Edição Deluxe
2020-07-22,233.03,MY HERO ONE’S JUSTICE 2 Edição Deluxe
2020-08-06,332.9,MY HERO ONE’S JUSTICE 2 Edição Deluxe
2020-08-27,233.03,MY HERO ONE’S JUSTICE 2 Edição Deluxe
2020-09-01,332.9,MY HERO ONE’S JUSTICE 2 Edição Deluxe
2020-09-30,166.45,MY HERO ONE’S JUSTICE 2 Edição Deluxe
2020-10-15,332.9,MY HERO ONE’S JUSTICE 2 Edição Deluxe
2020-10-30,166.45,MY HERO ONE’S JUSTICE 2 Edição Deluxe
2020-11-21,332.9,MY HERO ONE’S JUSTICE 2 Edição Deluxe
2020-12-22,166.45,MY HERO ONE’S JUSTICE 2 Edição Deluxe
2021-01-20,332.9,MY HERO ONE’S JUSTICE 2 Edição Deluxe
2021-02-10,166.45,MY HERO ONE’S JUSTICE 2 Edição Deluxe
2021-02-25,332.9,MY HERO ONE’S JUSTICE 2 Edição Deluxe
2021-03-31,133.16,MY HERO ONE’S JUSTICE 2 Edição Deluxe
2021-04-01,133.16,MY HERO ONE’S JUSTICE 2 Edição Deluxe
2020-04-14,68.97,The Crew® 2 Deluxe Edition
2020-04-29,229.9,The Crew® 2 Deluxe Edition
2020-05-27,57.47,The Crew® 2 Deluxe Edition
2020-06-11,229.9,The Crew® 2 Deluxe Edition
2020-09-02,57.47,The Crew® 2 Deluxe Edition
2020-09-17,229.9,The Crew® 2 Deluxe Edition
2020-09-27,274.5,The Crew® 2 Deluxe Edition
2020-10-05,229.9,The Crew® 2 Deluxe Edition
2020-11-30,57.47,The Crew® 2 Deluxe Edition
2020-12-23,229.9,The Crew® 2 Deluxe Edition
2021-01-19,57.47,The Crew® 2 Deluxe Edition
2021-02-04,229.9,The Crew® 2 Deluxe Edition
2021-03-31,57.47,The Crew® 2 Deluxe Edition
2021-04-01,57.47,The Crew® 2 Deluxe Edition
2020-04-14,62.5,Monster Viator
2020-09-23,43.75,Monster Viator
2020-10-08,62.5,Monster Viator
2020-11-30,37.5,Monster Viator
2020-12-23,62.5,Monster Viator
2021-02-10,43.75,Monster Viator
2021-02-25,62.5,Monster Viator
2021-03-31,43.75,Monster Viator
2021-04-01,43.75,Monster Viator
2020-04-14,279.9,The Division 2 - Warlords of New York - Ultimate Edition
2020-05-13,167.94,The Division 2 - Warlords of New York - Ultimate Edition
2020-05-28,279.9,The Division 2 - Warlords of New York - Ultimate Edition
2020-06-24,125.95,The Division 2 - Warlords of New York - Ultimate Edition
2020-07-09,279.9,The Division 2 - Warlords of New York - Ultimate Edition
2020-07-22,125.95,The Division 2 - Warlords of New York - Ultimate Edition
2020-08-06,279.9,The Division 2 - Warlords of New York - Ultimate Edition
2020-09-30,92.36,The Division 2 - Warlords of New York - Ultimate Edition
2020-10-15,279.9,The Division 2 - Warlords of New York - Ultimate Edition
2020-11-21,83.97,The Division 2 - Warlords of New York - Ultimate Edition
2020-12-01,279.9,The Division 2 - Warlords of New York - Ultimate Edition
2021-01-05,83.97,The Division 2 - Warlords of New York - Ultimate Edition
2021-01-20,279.9,The Division 2 - Warlords of New York - Ultimate Edition
2021-02-17,181.93,The Division 2 - Warlords of New York - Ultimate Edition
2021-03-04,279.9,The Division 2 - Warlords of New York - Ultimate Edition
2021-03-31,83.97,The Division 2 - Warlords of New York - Ultimate Edition
2021-04-01,83.97,The Division 2 - Warlords of New York - Ultimate Edition
2020-04-14,249.9,ONE PUNCH MAN: A HERO NOBODY KNOWS
2020-04-24,149.94,ONE PUNCH MAN: A HERO NOBODY KNOWS
2020-05-08,249.9,ONE PUNCH MAN: A HERO NOBODY KNOWS
2020-06-10,149.94,ONE PUNCH MAN: A HERO NOBODY KNOWS
2020-06-25,249.9,ONE PUNCH MAN: A HERO NOBODY KNOWS
2020-08-26,149.94,ONE PUNCH MAN: A HERO NOBODY KNOWS
2020-09-10,249.9,ONE PUNCH MAN: A HERO NOBODY KNOWS
2020-09-26,299.9,ONE PUNCH MAN: A HERO NOBODY KNOWS
2021-02-10,119.96,ONE PUNCH MAN: A HERO NOBODY KNOWS
2021-02-25,299.9,ONE PUNCH MAN: A HERO NOBODY KNOWS
2021-03-31,74.97,ONE PUNCH MAN: A HERO NOBODY KNOWS
2021-04-01,74.97,ONE PUNCH MAN: A HERO NOBODY KNOWS
2020-04-14,124.9,Street Fighter V: Champion Edition
2020-08-05,93.67,Street Fighter V: Champion Edition
2020-08-20,124.9,Street Fighter V: Champion Edition
2020-09-23,93.67,Street Fighter V: Champion Edition
2020-10-08,124.9,Street Fighter V: Champion Edition
2020-11-21,81.18,Street Fighter V: Champion Edition
2020-12-01,124.9,Street Fighter V: Champion Edition
2020-12-10,81.18,Street Fighter V: Champion Edition
2020-12-15,124.9,Street Fighter V: Champion Edition
2020-12-22,81.18,Street Fighter V: Champion Edition
2021-01-09,124.9,Street Fighter V: Champion Edition
2021-02-10,83.68,Street Fighter V: Champion Edition
2021-02-25,124.9,Street Fighter V: Champion Edition
2021-03-31,83.68,Street Fighter V: Champion Edition
2021-04-01,83.68,Street Fighter V: Champion Edition
2020-04-14,124.9,Townsmen - A Kingdom Rebuilt
2020-09-26,159.9,Townsmen - A Kingdom Rebuilt
2020-12-22,111.93,Townsmen - A Kingdom Rebuilt
2021-01-20,159.9,Townsmen - A Kingdom Rebuilt
2021-02-17,95.94,Townsmen - A Kingdom Rebuilt
2021-03-04,159.9,Townsmen - A Kingdom Rebuilt
2021-03-31,95.94,Townsmen - A Kingdom Rebuilt
2021-04-01,95.94,Townsmen - A Kingdom Rebuilt
2020-04-14,164.9,Darksiders Genesis
2020-06-10,115.43,Darksiders Genesis
2020-06-25,164.9,Darksiders Genesis
2020-10-14,115.43,Darksiders Genesis
2020-11-03,164.9,Darksiders Genesis
2020-11-21,65.96,Darksiders Genesis
2020-12-01,164.9,Darksiders Genesis
2021-01-05,65.96,Darksiders Genesis
2021-01-20,164.9,Darksiders Genesis
2021-03-31,82.45,Darksiders Genesis
2021-04-01,82.45,Darksiders Genesis
2020-04-14,164.9,Dreams
2020-05-01,123.67,Dreams
2020-05-05,164.9,Dreams
2020-06-03,123.67,Dreams
2020-06-18,164.9,Dreams
