Title,Original Price,Promotional Price,Psplus Price,Max_price,Min_price,Min_price_plus,url_games
Train Sim World® 2020,"R$ 159,90","R$ 63,96","R$ 63,96","R$ 159,90","R$ 62,45","R$ 62,45",/ps4-store-br/train-sim-world-2020-game-38703/
Mutant Year Zero: Road to Eden - Deluxe Edition ,"R$ 186,90","R$ 74,76","R$ 74,76","R$ 186,90","R$ 74,76","R$ 74,76",/ps4-store-br/mutant-year-zero-road-to-eden-deluxe-edition-game-38720/
Attack on Titan 2: Final Battle,"R$ 249,90","R$ 174,93","R$ 174,93","R$ 249,90","R$ 174,93","R$ 174,93",/ps4-store-br/attack-on-titan-2-final-battle-game-38731/
Rainbow Skies + Rainbow Moon Mega RPG Bundle,"R$ 214,90","R$ 53,72","R$ 53,72","R$ 214,90","R$ 49,47","R$ 49,47",/ps4-store-br/rainbow-skies-rainbow-moon-mega-rpg-bundle-game-38735/
Bear With Me: The Complete Collection,"R$ 79,90","R$ 23,97","R$ 23,97","R$ 79,90","R$ 22,95","R$ 22,95",/ps4-store-br/bear-with-me-the-complete-collection-game-38739/
Bear With Me: The Lost Robots,"R$ 26,90","R$ 8,07","R$ 8,07","R$ 26,90","R$ 7,96","R$ 7,96",/ps4-store-br/bear-with-me-the-lost-robots-game-38740/
Etherborn,"R$ 89,90","R$ 53,94","R$ 44,95","R$ 89,90","R$ 53,94","R$ 44,95",/ps4-store-br/etherborn-game-38780/
F1® 2019 Legends Edition Senna and Prost,"R$ 299,90","R$ 74,97","R$ 74,97","R$ 299,90","R$ 69,99","R$ 55,99",/ps4-store-br/f1-2019-legends-edition-senna-and-prost-game-38845/
Monster Jam Steel Titans,"R$ 199,50","R$ 79,80","R$ 79,80","R$ 199,50","R$ 74,95","R$ 74,95",/ps4-store-br/monster-jam-steel-titans-game-38850/
Crash™ Team Racing Nitro-Fueled,"R$ 179,90","R$ 71,96","R$ 71,96","R$ 179,90","R$ 62,96","R$ 62,96",/ps4-store-br/crash-team-racing-nitro-fueled-game-38864/
Bloodstained: Ritual of the Night,"R$ 199,50","R$ 99,75","R$ 99,75","R$ 199,50","R$ 79,80","R$ 79,80",/ps4-store-br/bloodstained-ritual-of-the-night-game-38869/
Dragon Star Varnir,"R$ 207,90","R$ 83,16","R$ 83,16","R$ 207,90","R$ 51,97","R$ 51,97",/ps4-store-br/dragon-star-varnir-game-38881/
Horizon Shift ’81,"R$ 48,50","R$ 14,55","R$ 12,12","R$ 48,50","R$ 14,55","R$ 12,12",/ps4-store-br/horizon-shift-81-game-38882/
Riverbond,"R$ 103,90","R$ 20,78","R$ 20,78","R$ 103,90","R$ 20,78","R$ 20,78",/ps4-store-br/riverbond-game-38886/
Stunt Kite Party,"R$ 53,90","R$ 16,17","R$ 10,78","R$ 53,90","R$ 16,17","R$ 10,78",/ps4-store-br/stunt-kite-party-game-38889/
DayZ,"R$ 264,90","R$ 158,94","R$ 158,94","R$ 264,90","R$ 124,74","R$ 124,74",/ps4-store-br/dayz-game-38911/
Lapis x Labyrinth ,"R$ 149,50","R$ 49,33","R$ 49,33","R$ 149,50","R$ 41,21","R$ 41,21",/ps4-store-br/lapis-x-labyrinth-game-38921/
Shakedown: Hawaii,"R$ 79,99","R$ 59,99","R$ 55,99","R$ 79,99","R$ 59,99","R$ 55,99",/ps4-store-br/shakedown-hawaii-game-38979/
Xenon Racer - Deluxe Edition,"R$ 224,50","R$ 22,45","R$ 22,45","R$ 224,50","R$ 22,45","R$ 22,45",/ps4-store-br/xenon-racer-deluxe-edition-game-38980/
Fade to Silence,"R$ 149,50","R$ 49,33","R$ 49,33","R$ 149,50","R$ 49,33","R$ 49,33",/ps4-store-br/fade-to-silence-game-38988/
Konrad’s Kittens Bundle,"R$ 69,90","R$ 41,94","R$ 41,94","R$ 69,90","R$ 41,94","R$ 41,94",/ps4-store-br/konrads-kittens-bundle-game-39000/
Conan Exiles – Deluxe Edition,"R$ 309,90","R$ 154,95","R$ 154,95","R$ 309,90","R$ 123,96","R$ 123,96",/ps4-store-br/conan-exiles-deluxe-edition-game-39034/
Power Rangers: Battle For The Grid,"R$ 104,90","R$ 68,18","R$ 68,18","R$ 104,90","R$ 41,75","R$ 41,75",/ps4-store-br/power-rangers-battle-for-the-grid-game-39061/
Power Rangers: Battle For The Grid - Edição de Colecionador,"R$ 214,90","R$ 103,93","R$ 103,93","R$ 214,90","R$ 82,45","R$ 82,45",/ps4-store-br/power-rangers-battle-for-the-grid-edicao-de-colecionador-game-39062/
SEVEN: ENHANCED EDITION,"R$ 199,50","R$ 59,85","R$ 39,90","R$ 199,50","R$ 59,85","R$ 39,90",/ps4-store-br/seven-enhanced-edition-game-39072/
SNK 40th ANNIVERSARY COLLECTION,"R$ 199,50","R$ 99,75","R$ 99,75","R$ 199,50","R$ 89,77","R$ 82,44",/ps4-store-br/snk-40th-anniversary-collection-game-39113/
ONE PIECE World Seeker Edição Deluxe,"R$ 349,90","R$ 76,97","R$ 76,97","R$ 349,90","R$ 76,97","R$ 76,97",/ps4-store-br/one-piece-world-seeker-edicao-deluxe-game-39120/
Coleção LEGO® Marvel,"R$ 229,99","R$ 45,99","R$ 45,99","R$ 229,99","R$ 45,99","R$ 45,99",/ps4-store-br/colecao-lego-marvel-game-39130/
VERTI-GO HOME!,"R$ 53,90","R$ 26,95","R$ 16,17","R$ 53,90","R$ 26,95","R$ 16,17",/ps4-store-br/verti-go-home-game-39138/
Bonds of the Skies,"R$ 79,90","R$ 47,94","R$ 39,95","R$ 79,90","R$ 39,95","R$ 39,95",/ps4-store-br/bonds-of-the-skies-game-39143/
Crimson Keep,"R$ 104,90","R$ 31,47","R$ 31,47","R$ 104,90","R$ 20,98","R$ 20,98",/ps4-store-br/crimson-keep-game-39145/
Crash Dummy,"R$ 53,90","R$ 16,17","R$ 13,47","R$ 53,90","R$ 16,17","R$ 13,47",/ps4-store-br/crash-dummy-game-39157/
The Walking Vegetables: Radical Edition,"R$ 69,90","R$ 20,97","R$ 20,97","R$ 69,90","R$ 13,98","R$ 13,98",/ps4-store-br/the-walking-vegetables-radical-edition-game-39180/
Anthem™ - Edição Legião da Alvorada,"R$ 349,90","R$ 52,48","R$ 52,48","R$ 349,90","R$ 52,48","R$ 48,98",/ps4-store-br/anthem-edicao-legiao-da-alvorada-game-39186/
Quase Lá: O jogo de plataforma,"R$ 53,90","R$ 8,08","R$ 5,38","R$ 53,90","R$ 4,15","R$ 4,15",/ps4-store-br/quase-la-o-jogo-de-plataforma-game-39200/
JUMP FORCE,"R$ 299,90","R$ 74,97","R$ 74,97","R$ 299,90","R$ 62,47","R$ 62,47",/ps4-store-br/jump-force-game-39208/
Metro Exodus,"R$ 164,90","R$ 49,47","R$ 49,47","R$ 164,90","R$ 49,47","R$ 49,46",/ps4-store-br/metro-exodus-game-39210/
Degrees of Separation,"R$ 104,90","R$ 20,98","R$ 20,98","R$ 104,90","R$ 9,22","R$ 9,22",/ps4-store-br/degrees-of-separation-game-39213/
The Liar Princess and the Blind Prince,"R$ 99,50","R$ 49,75","R$ 49,75","R$ 99,50","R$ 41,75","R$ 33,40",/ps4-store-br/the-liar-princess-and-the-blind-prince-game-39226/
RIOT - Civil Unrest,"R$ 99,50","R$ 29,85","R$ 29,85","R$ 99,50","R$ 16,70","R$ 16,70",/ps4-store-br/riot-civil-unrest-game-39248/
Necrosphere Deluxe,"R$ 42,90","R$ 21,45","R$ 21,45","R$ 42,90","R$ 16,75","R$ 16,75",/ps4-store-br/necrosphere-deluxe-game-39259/
RESIDENT EVIL 2,"R$ 199,50","R$ 79,80","R$ 79,80","R$ 199,50","R$ 79,80","R$ 79,80",/ps4-store-br/resident-evil-2-game-39270/
ACE COMBAT™ 7: SKIES UNKNOWN,"R$ 249,90","R$ 62,47","R$ 62,47","R$ 249,90","R$ 62,47","R$ 62,47",/ps4-store-br/ace-combat-7-skies-unknown-game-39287/
SWORD ART ONLINE: FATAL BULLET Edição Completa,"R$ 349,90","R$ 69,98","R$ 69,98","R$ 349,90","R$ 69,98","R$ 69,98",/ps4-store-br/sword-art-online-fatal-bullet-edicao-completa-game-39289/
Hitman HD Enhanced Collection,"R$ 319,90","R$ 79,97","R$ 79,97","R$ 319,90","R$ 62,47","R$ 62,47",/ps4-store-br/hitman-hd-enhanced-collection-game-39304/
Tales of Vesperia™: Edição Definitiva,"R$ 239,50","R$ 47,90","R$ 47,90","R$ 239,50","R$ 47,90","R$ 47,90",/ps4-store-br/tales-of-vesperia-edicao-definitiva-game-39306/
BLUE REFLECTION,"R$ 299,90","R$ 149,95","R$ 149,95","R$ 299,90","R$ 124,95","R$ 124,95",/ps4-store-br/blue-reflection-game-39313/
